nan	nan	-0.3432235	-0.8126998000000001	nan	nan	-1.2428629999999998	-1.0118719999999999	-0.2078183	nan	0.7160446999999999	-0.5996819	nan	-1.59876	nan	0.6647215999999999	-0.1087079	0.07945965	nan	-0.6788774000000001	0.5440941999999999	-6.0853779999999995	-0.6114236999999999	-1.102617	0.23205229999999996	nan	0.6385298	0.40231059999999996	-1.6756209999999998	nan	nan
OG0001516.22	OG0000011.866	OG0000283.1	OG0005431.0	OG0001956.0	OG0037968.0	OG0000010.475	OG0000294.0	OG0000995.122	OG0000102.0	OG0013081.0	OG0009013.2	OG0003118.5	OG0004939.0	OG0004806.29	OG0000958.3	OG0007724.0	OG0015256.2	OG0000226.4	OG0010621.0	OG0000923.0	OG0057259.0	OG0000088.3	OG0000090.24	OG0000310.18	OG0005494.2	OG0024612.0	OG0001179.24	OG0002897.1	OG0004219.22	OG0001954.0
nan	nan	-0.1172827	0.20319260000000003	nan	1.170015	nan	nan	0.1172192	nan	0.4759116	-0.7214012	0.5848028000000001	-0.36053670000000004	-0.07927566	0.3530301	-0.5949389	-1.8070580000000003	nan	-0.5458338	0.6578341999999999	-0.9318726	nan	1.324674	0.8435045	-0.3092101	-1.781526	nan	0.925133	-1.068352	nan
OG0005237.0	OG0003241.1	OG0009086.4	OG0000598.0	OG0003755.0	OG0000081.1	OG0013557.8	OG0001370.24	OG0009271.0	OG0000407.1	OG0016466.2	OG0027486.0	OG0000979.1	OG0000494.1	OG0044900.0	OG0002713.0	OG0000710.0	OG0000318.0	OG0000000.3460	OG0000018.842	OG0004605.20	OG0002852.4	OG0010802.0	OG0016261.0	OG0005232.0	OG0001667.0	OG0001479.24	OG0000007.976	OG0044639.0	OG0001911.24	OG0000054.0
-0.4558126	-0.48301890000000003	-0.3926913	-0.08105836	-0.8627869	nan	-0.6089021	nan	1.472906	nan	0.8527904000000001	-2.109011	nan	nan	2.777409	-0.42124129999999993	-0.2706215	0.05866991	nan	0.1923812	-0.731288	-1.353612	0.7583578000000001	-0.9799703000000002	-0.5580516	nan	nan	nan	2.645408	0.32098920000000003	nan
OG0004979.3	OG0000032.252	OG0000125.49	OG0046775.0	OG0004353.1	OG0005402.0	OG0005940.0	OG0024590.0	OG0000187.1	OG0002752.1	OG0000453.2	OG0038741.0	OG0000127.0	OG0000054.0	OG0000994.2	OG0004330.0	OG0003176.17	OG0004569.0	OG0000869.2	OG0012233.4	OG0000697.0	OG0022345.0	OG0003628.6	OG0005333.0	OG0002335.4	OG0005134.0	OG0007751.0	OG0000074.152	OG0000112.0	OG0001078.24	OG0000917.1
0.41345859999999995	nan	nan	-5.818787	-0.49200390000000005	0.02473062	-0.17714100000000002	0.08820287	1.171144	0.2368928	nan	-0.01633853	nan	nan	nan	0.8041765999999999	0.07945965	0.4860415	nan	0.320187	nan	-1.321352	-0.240579	-0.8488406999999999	-0.11668599999999998	-0.5837266999999999	-0.8461655	nan	nan	nan	nan
OG0018611.0	OG0000121.128	OG0000320.0	OG0000018.289	OG0001829.22	OG0005157.0	OG0000265.0	OG0004245.1	OG0012912.2	OG0001425.1	OG0007950.0	OG0000929.1	OG0010840.2	OG0043878.0	OG0000018.842	OG0004183.0	OG0006805.0	OG0011419.0	OG0000272.36	OG0004867.1	OG0002858.1	OG0000702.24	OG0000677.1	OG0034952.0	OG0006027.0	OG0001217.1	OG0005460.0	OG0009953.0	OG0000748.0	OG0000112.0	OG0000045.0
1.462245	-0.3410663	nan	nan	0.02814651	-1.169375	nan	-0.7428011999999999	-0.3495528	nan	-1.1529969999999998	nan	-0.056313699999999994	-0.8689133	0.1923812	-0.7042547	0.220671	-0.5634789000000001	nan	-0.5560534	-0.1238595	nan	nan	-2.230522	-0.33776269999999997	nan	-0.6723432	0.05803109	0.6912807	nan	nan
OG0004225.4	OG0005944.0	OG0000604.1	OG0001749.32	OG0005626.0	OG0001617.48	OG0002146.0	OG0000183.0	OG0000007.585	OG0007509.2	OG0000196.0	OG0000923.0	OG0056797.0	OG0027822.0	OG0000232.19	OG0005400.0	OG0006379.10	OG0012909.2	OG0000310.18	OG0000391.20	OG0011520.0	OG0007025.0	OG0001461.24	OG0001958.0	OG0013837.7	OG0002028.0	OG0005311.3	OG0004808.0	OG0002270.30	OG0000045.0	OG0000012.918
