OG0004703.4	OG0000071.0	OG0004723.0	OG0002419.38	OG0001770.0	OG0000926.24	OG0004934.6	OG0000002.1788	OG0000364.1	OG0000343.0	OG0004656.0	OG0000799.22	OG0002486.16	OG0000228.54	OG0006109.16	OG0010738.0	OG0003155.34	OG0000245.24
9.670096000000001	nan	20.04782	nan	nan	nan	0.8362424999999999	nan	nan	4.3776980000000005	117.5007	2.406376	28.460390000000004	0.515786	4.413752	nan	1.938523	nan
OG0000018.842	OG0000116.0	OG0005693.0	OG0002285.24	OG0004289.0	OG0004225.4	OG0001550.0	OG0000285.1	OG0000032.252	OG0000837.0	OG0000421.45	OG0002449.21	OG0001937.2	OG0002569.7	OG0000121.128	OG0004813.0	OG0001653.23	OG0009104.4	OG0007178.0
2.682202	nan	2.85122	4.242244	20.42748	0.8697355999999999	nan	nan	nan	3.360896	1.587141	1.52106	nan	1.430684	3.155518	2.064171	2.263986	4.6210510000000005	5.1145879999999995
OG0000615.1	OG0000307.20	OG0000294.0	OG0005137.0	OG0000429.0	OG0000007.3	OG0005640.2	OG0000039.0	OG0001467.10	OG0007308.0	OG0004466.4	OG0007204.8	OG0000187.1	OG0010723.0	OG0000383.2	OG0003239.9	OG0007546.0	OG0003846.1	OG0003459.2
nan	0.5161384	nan	92.1703	4.577324	nan	0.24367039999999998	nan	40.1935	4.324808	0.1674594	1.373264	nan	4.584441	nan	14.970089999999999	3.006128	45.96982	nan
OG0000310.18	OG0005613.0	OG0012670.4	OG0005315.0	OG0000010.64	OG0001851.13	OG0002110.0	OG0000007.976	OG0002521.0	OG0013621.0	OG0004191.4	OG0000727.24	OG0006964.0	OG0000121.128	OG0008108.0	OG0000180.0	OG0000142.14	OG0004605.20	OG0004627.2
nan	4.673449	nan	2.658212	nan	14.18325	nan	nan	21.151329999999998	3.4975739999999997	16.024079999999998	nan	25.687910000000002	3.155518	1.65523	nan	4.598162	102.9473	0.2432357
OG0000015.773	OG0000018.842	OG0002408.0	OG0002399.4	OG0001932.0	OG0005870.0	OG0005098.0	OG0000074.152	OG0000616.40	OG0000032.252	OG0002284.0	OG0003381.2	OG0000169.16	OG0008521.4	OG0000471.2	OG0006395.0	OG0012717.0	OG0000578.0	OG0013997.0
nan	2.682202	1.683303	3.46631	11.45346	nan	1.6112360000000001	1.598608	nan	nan	5.867358	4.196837	1.320063	3.189665	nan	2.411	4.371773	nan	2.954715
OG0000018.842	OG0000980.1	OG0000048.122	OG0000310.18	OG0000268.1	OG0003856.24	OG0002419.38	OG0000010.64	OG0010737.2	OG0003960.4	OG0000056.0	OG0000620.31	OG0002270.30	OG0005660.0	OG0005447.3	OG0000290.0	OG0000710.0	OG0002444.1	OG0011505.6
2.682202	nan	nan	nan	5.777373000000001	2.27716	nan	nan	0.6100512	4.986475	nan	4.592944	14.24172	5.042091	5.571809	nan	9.025097	3.9031870000000004	2.212902
OG0003897.10	OG0000575.28	OG0003986.6	OG0004677.10	OG0003629.0	OG0002661.24	OG0000043.242	OG0000620.31	OG0000000.3	OG0001646.1	OG0000200.0	OG0000349.0	OG0000749.2	OG0000001.1420	OG0001191.24	OG0006566.0	OG0002863.0	OG0010619.2	OG0003247.1
0.04132692	218.6506	13.156360000000001	0.8237665000000001	8.352021	5.84859	nan	4.592944	nan	1.6342860000000001	1.051104	2.254695	nan	nan	nan	221.7532	nan	1.1300729999999999	1.883648
OG0000045.0	OG0004452.2	OG0000575.28	OG0000099.0	OG0001018.1	OG0004640.26	OG0009093.4	OG0004705.0	OG0000486.2	OG0001664.2	OG0002869.0	OG0004380.22	OG0000415.0	OG0004981.2	OG0000196.0	OG0000042.314	OG0000906.25	OG0002675.22	OG0007438.0
nan	19.44812	218.6506	nan	1.282833	216.3773	4.650282	9.742803	2.731414	1.886781	10.21038	26.398590000000002	nan	66.24492	0.8986194	nan	nan	1.336981	3.8319089999999996
OG0000045.0	OG0000596.47	OG0000307.20	OG0000334.9	OG0003726.9	OG0000010.64	OG0003169.0	OG0003403.0	OG0002718.4	OG0008934.0	OG0002897.1	OG0000187.1	OG0003630.6	OG0001609.10	OG0012111.2	OG0008199.4	OG0000206.0	OG0005214.0	OG0000643.24
nan	nan	0.5161384	1.265232	9.280192999999999	nan	0.43743540000000003	10.12887	2.2866459999999997	4.450183999999999	0.3180114	nan	2.466766	nan	227.6705	4.501537	nan	0.5234131	nan
OG0000575.28	OG0000310.18	OG0000018.289	OG0010591.0	OG0000099.0	OG0004451.2	OG0000109.0	OG0012075.2	OG0005593.0	OG0009964.4	OG0001519.24	OG0000407.1	OG0003224.12	OG0004961.2	OG0000415.0	OG0001720.16	OG0001659.0	OG0002709.2	OG0004564.10
218.6506	nan	nan	3.234845	nan	19.12135	nan	231.3206	2.778668	1.7076529999999999	nan	nan	8.585384	7.147694	nan	0.8490231	3.6868529999999997	1.314254	6.680548
OG0000013.2	OG0001661.0	OG0005729.2	OG0000139.0	OG0015021.0	OG0002148.0	OG0003607.0	OG0002676.20	OG0001551.34	OG0001785.1	OG0002286.10	OG0000158.1	OG0004724.0	OG0004499.0	OG0000047.282	OG0000180.0	OG0010738.0	OG0000127.0	OG0000239.0
nan	nan	3.8051209999999998	3.153003	1.3428440000000001	nan	22.07339	1.340962	0.48954380000000003	2.5362560000000003	3.957586	4.873151999999999	20.01022	3.7580050000000003	3.909817	nan	nan	nan	nan
